CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺北市,1970,1,121.45,25.10,6.118912
臺北市,1970,2,121.45,25.10,0.804207
臺北市,1970,3,121.45,25.10,9.680540
臺北市,1970,4,121.45,25.10,2.216070
臺北市,1970,5,121.45,25.10,6.283051
臺北市,1970,6,121.45,25.10,4.838497
臺北市,1970,7,121.45,25.10,2.406186
臺北市,1970,8,121.45,25.10,4.571081
臺北市,1970,9,121.45,25.10,12.361996
臺北市,1970,10,121.45,25.10,3.046304
臺北市,1970,11,121.45,25.10,1.319290
臺北市,1970,12,121.45,25.10,4.497765
臺北市,1971,1,121.45,25.10,4.977130
臺北市,1971,2,121.45,25.10,3.226114
臺北市,1971,3,121.45,25.10,2.887642
臺北市,1971,4,121.45,25.10,0.624542
臺北市,1971,5,121.45,25.10,1.903144
臺北市,1971,6,121.45,25.10,3.247389
臺北市,1971,7,121.45,25.10,2.311035
臺北市,1971,8,121.45,25.10,1.306184
臺北市,1971,9,121.45,25.10,10.561018
臺北市,1971,10,121.45,25.10,2.123730
臺北市,1971,11,121.45,25.10,1.937737
臺北市,1971,12,121.45,25.10,2.319023
臺北市,1972,1,121.45,25.10,5.786550
臺北市,1972,2,121.45,25.10,2.986384
臺北市,1972,3,121.45,25.10,0.662901
臺北市,1972,4,121.45,25.10,2.253925
臺北市,1972,5,121.45,25.10,9.880092
臺北市,1972,6,121.45,25.10,5.955795
臺北市,1972,7,121.45,25.10,12.181079
臺北市,1972,8,121.45,25.10,15.415581
臺北市,1972,9,121.45,25.10,0.222372
臺北市,1972,10,121.45,25.10,0.320745
臺北市,1972,11,121.45,25.10,1.380228
臺北市,1972,12,121.45,25.10,2.560053
臺北市,1973,1,121.45,25.10,4.041007
臺北市,1973,2,121.45,25.10,1.535714
臺北市,1973,3,121.45,25.10,0.927651
臺北市,1973,4,121.45,25.10,7.188017
臺北市,1973,5,121.45,25.10,4.663726
臺北市,1973,6,121.45,25.10,5.570437
臺北市,1973,7,121.45,25.10,3.337892
臺北市,1973,8,121.45,25.10,3.283868
臺北市,1973,9,121.45,25.10,2.661130
臺北市,1973,10,121.45,25.10,5.719926
臺北市,1973,11,121.45,25.10,2.196425
臺北市,1973,12,121.45,25.10,1.870023
臺北市,1974,1,121.45,25.10,0.391461
臺北市,1974,2,121.45,25.10,4.303000
臺北市,1974,3,121.45,25.10,2.880893
臺北市,1974,4,121.45,25.10,6.689630
臺北市,1974,5,121.45,25.10,8.289597
臺北市,1974,6,121.45,25.10,12.057882
臺北市,1974,7,121.45,25.10,3.980652
臺北市,1974,8,121.45,25.10,1.345071
臺北市,1974,9,121.45,25.10,6.242723
臺北市,1974,10,121.45,25.10,5.757129
臺北市,1974,11,121.45,25.10,1.231134
臺北市,1974,12,121.45,25.10,2.363723
臺北市,1975,1,121.45,25.10,2.503562
臺北市,1975,2,121.45,25.10,2.503983
臺北市,1975,3,121.45,25.10,7.979204
臺北市,1975,4,121.45,25.10,3.666123
臺北市,1975,5,121.45,25.10,8.797703
臺北市,1975,6,121.45,25.10,10.927377
臺北市,1975,7,121.45,25.10,2.554185
臺北市,1975,8,121.45,25.10,8.612067
臺北市,1975,9,121.45,25.10,5.120092
臺北市,1975,10,121.45,25.10,6.610989
臺北市,1975,11,121.45,25.10,1.387006
臺北市,1975,12,121.45,25.10,3.814553
臺北市,1976,1,121.45,25.10,1.163526
臺北市,1976,2,121.45,25.10,1.100817
臺北市,1976,3,121.45,25.10,3.588007
臺北市,1976,4,121.45,25.10,3.638711
臺北市,1976,5,121.45,25.10,4.068758
臺北市,1976,6,121.45,25.10,3.692725
臺北市,1976,7,121.45,25.10,8.439973
臺北市,1976,8,121.45,25.10,4.236420
臺北市,1976,9,121.45,25.10,1.731599
臺北市,1976,10,121.45,25.10,0.970686
臺北市,1976,11,121.45,25.10,1.721792
臺北市,1976,12,121.45,25.10,0.966673
臺北市,1977,1,121.45,25.10,3.736838
臺北市,1977,2,121.45,25.10,3.418033
臺北市,1977,3,121.45,25.10,1.089935
臺北市,1977,4,121.45,25.10,0.525151
臺北市,1977,5,121.45,25.10,4.419507
臺北市,1977,6,121.45,25.10,8.979687
臺北市,1977,7,121.45,25.10,8.477189
臺北市,1977,8,121.45,25.10,5.131067
臺北市,1977,9,121.45,25.10,9.604739
臺北市,1977,10,121.45,25.10,0.204403
臺北市,1977,11,121.45,25.10,2.809551
臺北市,1977,12,121.45,25.10,3.506011
臺北市,1978,1,121.45,25.10,2.924846
臺北市,1978,2,121.45,25.10,2.596468
臺北市,1978,3,121.45,25.10,11.059944
臺北市,1978,4,121.45,25.10,4.733903
臺北市,1978,5,121.45,25.10,8.042732
臺北市,1978,6,121.45,25.10,1.022998
臺北市,1978,7,121.45,25.10,0.002334
臺北市,1978,8,121.45,25.10,1.546741
臺北市,1978,9,121.45,25.10,8.138720
臺北市,1978,10,121.45,25.10,10.769847
臺北市,1978,11,121.45,25.10,0.232056
臺北市,1978,12,121.45,25.10,2.003330
臺北市,1979,1,121.45,25.10,1.501005
臺北市,1979,2,121.45,25.10,1.974530
臺北市,1979,3,121.45,25.10,8.593928
臺北市,1979,4,121.45,25.10,3.054801
臺北市,1979,5,121.45,25.10,7.026848
臺北市,1979,6,121.45,25.10,11.865139
臺北市,1979,7,121.45,25.10,0.533643
臺北市,1979,8,121.45,25.10,10.330563
臺北市,1979,9,121.45,25.10,2.147310
臺北市,1979,10,121.45,25.10,1.428678
臺北市,1979,11,121.45,25.10,2.408451
臺北市,1979,12,121.45,25.10,0.888697
臺北市,1980,1,121.45,25.10,3.568667
臺北市,1980,2,121.45,25.10,7.099900
臺北市,1980,3,121.45,25.10,3.195518
臺北市,1980,4,121.45,25.10,5.936900
臺北市,1980,5,121.45,25.10,4.813323
臺北市,1980,6,121.45,25.10,1.616852
臺北市,1980,7,121.45,25.10,0.423588
臺北市,1980,8,121.45,25.10,3.722232
臺北市,1980,9,121.45,25.10,5.062065
臺北市,1980,10,121.45,25.10,1.634640
臺北市,1980,11,121.45,25.10,4.901024
臺北市,1980,12,121.45,25.10,0.523117
臺北市,1981,1,121.45,25.10,0.000000
臺北市,1981,2,121.45,25.10,4.175007
臺北市,1981,3,121.45,25.10,4.353655
臺北市,1981,4,121.45,25.10,1.637751
臺北市,1981,5,121.45,25.10,11.873523
臺北市,1981,6,121.45,25.10,12.940733
臺北市,1981,7,121.45,25.10,11.220830
臺北市,1981,8,121.45,25.10,0.691573
臺北市,1981,9,121.45,25.10,5.441334
臺北市,1981,10,121.45,25.10,0.926721
臺北市,1981,11,121.45,25.10,6.558069
臺北市,1981,12,121.45,25.10,2.385726
臺北市,1982,1,121.45,25.10,0.519935
臺北市,1982,2,121.45,25.10,3.541561
臺北市,1982,3,121.45,25.10,4.572557
臺北市,1982,4,121.45,25.10,4.345967
臺北市,1982,5,121.45,25.10,2.813938
臺北市,1982,6,121.45,25.10,13.840132
臺北市,1982,7,121.45,25.10,8.583172
臺北市,1982,8,121.45,25.10,8.757020
臺北市,1982,9,121.45,25.10,2.344495
臺北市,1982,10,121.45,25.10,0.609660
臺北市,1982,11,121.45,25.10,2.813707
臺北市,1982,12,121.45,25.10,2.797968
臺北市,1983,1,121.45,25.10,3.641294
